City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
Kudahuvadhoo,MV,2.6708,72.8944,81.91,76,100,4.23,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,76.68,87,94,2.3,overcast clouds
Atuona,PF,-9.8,-139.0333,80.82,77,28,13.09,scattered clouds
Buchanan,LR,5.8808,-10.0467,80.08,87,8,5.86,clear sky
Saskylakh,RU,71.9167,114.0833,-20.94,97,88,6.64,overcast clouds
Beloha,MG,-25.1667,45.05,63.34,70,0,4.88,clear sky
Castro,BR,-24.7911,-50.0119,68.5,89,44,3.56,light rain
Derzhavinsk,KZ,51.1,66.3167,40.68,63,3,9.57,clear sky
Tabuk,PH,17.4189,121.4443,70.92,95,75,1.95,broken clouds
Vaini,TO,-21.2,-175.2,79.45,81,43,11.99,scattered clouds
Norman Wells,CA,65.282,-126.8329,37.44,44,75,18.41,broken clouds
Iqaluit,CA,63.7506,-68.5145,14.7,78,100,13.0,light snow
Butaritari,KI,3.0707,172.7902,81.54,80,26,14.03,scattered clouds
Biak,ID,-0.9131,122.8766,74.98,87,100,5.12,moderate rain
Thompson,CA,55.7435,-97.8558,8.78,84,100,11.03,overcast clouds
Camocim,BR,-2.9022,-40.8411,78.22,83,87,7.18,moderate rain
Vostok,RU,46.4856,135.8833,23.72,81,3,5.39,clear sky
Conceicao Da Barra,BR,-18.5933,-39.7322,76.44,76,0,5.39,clear sky
Muros,ES,42.7762,-9.0603,57.09,48,54,8.41,broken clouds
General Roca,AR,-39.0333,-67.5833,80.67,18,92,30.36,overcast clouds
Byron Bay,AU,-28.65,153.6167,68.7,87,100,5.32,light rain
Flinders,AU,-34.5833,150.8552,68.38,88,93,3.0,light rain
Lubben,DE,51.95,13.9,38.46,75,94,3.31,overcast clouds
Torbay,CA,47.6666,-52.7314,35.28,86,100,11.01,overcast clouds
Waycross,US,31.2136,-82.354,71.85,94,100,9.22,moderate rain
Heinola,FI,61.2056,26.0381,25.0,98,100,2.66,overcast clouds
Hithadhoo,MV,-0.6,73.0833,82.56,75,100,4.74,overcast clouds
Zhanaozen,KZ,43.3,52.8,54.64,63,0,10.54,clear sky
Mataura,NZ,-46.1927,168.8643,41.49,66,36,1.92,scattered clouds
That Phanom,TH,16.9364,104.7104,75.16,74,42,5.57,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,74.21,78,65,6.11,broken clouds
Lucapa,AO,-8.4192,20.7447,66.76,94,100,1.01,light rain
Rawson,AR,-43.3002,-65.1023,68.83,29,60,4.12,broken clouds
Victoria,HK,22.2855,114.1577,67.19,92,100,17.0,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,44.76,66,99,1.25,overcast clouds
Avarua,CK,-21.2078,-159.775,77.05,94,75,3.44,light rain
Teguldet,RU,57.3064,88.1667,38.34,96,100,13.6,overcast clouds
Ambatofinandrahana,MG,-20.55,46.8,62.65,93,100,5.7,overcast clouds
Andapa,MG,-14.65,49.65,70.34,99,99,1.12,overcast clouds
Narsaq,GL,60.9167,-46.05,35.82,73,36,5.23,scattered clouds
San Patricio,US,28.017,-97.5169,75.15,48,100,21.77,overcast clouds
Beisfjord,NO,68.3751,17.5988,18.91,58,3,8.3,clear sky
Ilulissat,GL,69.2167,-51.1,12.22,73,75,4.61,broken clouds
Ribeira Grande,PT,38.5167,-28.7,60.78,75,12,21.99,light rain
Vanavara,RU,60.34,102.2797,7.75,97,99,2.35,overcast clouds
Keighley,GB,53.8679,-1.9066,48.7,93,75,9.22,broken clouds
San Quintin,MX,30.4833,-115.95,64.11,52,0,13.62,clear sky
Caernarfon,GB,53.1413,-4.2702,52.63,45,100,12.66,overcast clouds
Haines Junction,CA,60.7522,-137.5108,31.98,72,71,2.26,broken clouds
Nizhniy Tsasuchey,RU,50.5167,115.1333,35.1,74,78,10.33,broken clouds
Beitbridge,ZW,-22.2167,30.0,67.55,63,4,6.85,clear sky
Saint George,US,37.1041,-113.5841,66.25,15,6,5.99,clear sky
Vanimo,PG,-2.6741,141.3028,77.07,85,100,3.02,overcast clouds
Luwingu,ZM,-10.2621,29.9271,59.5,98,100,3.47,overcast clouds
Angoche,MZ,-16.2325,39.9086,75.74,89,79,7.09,light rain
Kloulklubed,PW,7.0419,134.2556,73.9,73,70,5.59,broken clouds
Turukhansk,RU,65.8167,87.9833,-1.16,90,100,6.49,overcast clouds
Sopur,IN,34.3,74.4667,49.98,59,100,3.36,overcast clouds
Champaign,US,40.1334,-88.2001,51.08,44,40,8.99,scattered clouds
Labuhan,ID,-6.8844,112.2051,77.81,86,100,5.55,overcast clouds
Clyde River,CA,70.4692,-68.5914,-9.17,77,40,0.0,scattered clouds
Deputatskiy,RU,69.3,139.9,-19.98,98,65,7.43,broken clouds
Marsa Matruh,EG,31.3525,27.2453,61.38,69,0,16.73,clear sky
Plettenberg Bay,ZA,-34.0527,23.3716,62.1,82,34,11.41,scattered clouds
Talnakh,RU,69.4865,88.3972,-16.11,98,99,7.14,overcast clouds
Kutum,SD,14.2,24.6667,71.46,18,70,9.06,broken clouds
Luderitz,NA,-26.6481,15.1594,63.39,75,0,12.12,clear sky
Sokoni,TZ,-6.4333,39.55,79.99,80,100,6.11,moderate rain
Kota Kinabalu,MY,5.9749,116.0724,76.98,88,20,3.44,few clouds
Wanaka,NZ,-44.7,169.15,41.11,67,17,4.0,few clouds
Lompoc,US,34.6391,-120.4579,68.68,70,75,17.27,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,70.59,30,0,16.8,clear sky
Minab,IR,27.1467,57.0801,72.27,71,3,11.32,clear sky
Sitka,US,57.0531,-135.33,40.15,73,100,7.74,overcast clouds
Kirakira,SB,-10.4544,161.9205,81.37,80,100,3.71,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,35.17,78,100,2.57,overcast clouds
Wajima,JP,37.4,136.9,45.1,68,0,5.97,clear sky
Dafeng,CN,23.4517,108.5881,58.06,92,100,3.49,overcast clouds
Bengkulu,ID,-3.8004,102.2655,75.65,91,99,7.07,moderate rain
Kodiak,US,57.79,-152.4072,42.31,61,0,5.75,clear sky
Kruisfontein,ZA,-34.0033,24.7314,59.86,82,40,21.97,scattered clouds
Mount Gambier,AU,-37.8333,140.7667,52.05,91,29,4.65,scattered clouds
Airai,TL,-8.9266,125.4092,58.14,90,96,1.57,overcast clouds
The Valley,AI,18.217,-63.0578,81.1,69,40,14.97,scattered clouds
Pitimbu,BR,-7.4706,-34.8086,81.19,77,5,10.87,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,75,3.44,broken clouds
Cidreira,BR,-30.1811,-50.2056,73.69,76,0,16.78,clear sky
Nome,US,64.5011,-165.4064,15.87,86,100,12.66,overcast clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,91.74,44,96,13.65,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,61.32,89,72,11.01,broken clouds
Husavik,IS,66.0449,-17.3389,20.08,86,96,11.34,overcast clouds
Boshnyakovo,RU,49.6333,142.1667,27.3,79,13,8.72,few clouds
Palang,BD,23.2167,90.35,74.55,83,0,5.91,clear sky
Puerto Carreno,CO,6.189,-67.4859,94.87,34,100,7.18,overcast clouds
Ous,RU,60.9058,61.5186,18.86,89,27,9.62,scattered clouds
East London,ZA,-33.0153,27.9116,69.78,74,78,20.02,broken clouds
Lasa,IT,46.6166,10.7002,36.36,59,67,3.62,broken clouds
Thiers,FR,45.8333,3.5,52.12,53,100,5.73,overcast clouds
Kensington,AU,-33.9167,151.2167,69.78,86,100,8.01,light rain
Srednekolymsk,RU,67.45,153.6833,6.55,82,80,6.93,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,59,8.01,light rain
Saba,HN,15.4667,-86.25,92.23,24,0,8.37,clear sky
Vila,PT,42.0304,-8.1588,54.48,60,96,5.55,overcast clouds
Banda Aceh,ID,5.5577,95.3222,79.32,80,71,2.55,broken clouds
Bathsheba,BB,13.2167,-59.5167,81.21,57,20,19.57,few clouds
Gagino,RU,55.2314,45.0339,40.53,88,100,12.15,overcast clouds
Beyneu,KZ,45.3167,55.2,56.25,68,4,8.55,clear sky
Ossora,RU,59.2353,163.0719,14.02,85,9,5.7,clear sky
Itacare,BR,-14.2775,-38.9967,77.67,78,83,7.05,broken clouds
Salalah,OM,17.0151,54.0924,82.49,78,75,6.91,broken clouds
Papara,BR,-3.9839,-38.7273,79.68,89,28,3.38,scattered clouds
Tutoia,BR,-2.7619,-42.2744,78.76,82,99,6.49,light rain
Aksarka,RU,66.5606,67.7975,-14.17,100,84,3.49,broken clouds
Katobu,ID,-4.9408,122.5276,73.22,98,100,4.32,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,76.21,68,0,12.08,clear sky
Neiafu,TO,-18.65,-173.9833,83.08,83,75,8.05,broken clouds
Telimele,GN,10.9167,-13.3333,78.62,46,89,4.0,overcast clouds
Stromness,GB,58.965,-3.296,42.87,88,100,8.99,overcast clouds
Tshikapa,CD,-6.4167,20.8,71.83,87,80,2.21,broken clouds
Coihaique,CL,-45.5752,-72.0662,39.81,87,75,3.44,moderate rain
Palmer,US,42.1584,-72.3287,48.65,42,75,12.66,broken clouds
Sale,MA,34.0389,-6.8166,61.75,82,76,0.0,broken clouds
Krasnoselkup,RU,65.7,82.4667,6.35,91,100,10.33,overcast clouds
Atar,MR,20.5169,-13.0499,87.78,8,2,8.28,clear sky
Hakodate,JP,41.7758,140.7367,37.04,72,9,4.63,clear sky
Qui Nhon,VN,13.7667,109.2333,75.61,87,99,1.7,overcast clouds
Muisne,EC,0.6,-80.0333,82.98,65,66,7.56,broken clouds
Hasaki,JP,35.7333,140.8333,47.21,75,85,14.05,overcast clouds
Fukue,JP,32.6881,128.8419,56.88,55,99,9.69,overcast clouds
Lagoa,PT,39.05,-27.9833,58.03,78,3,36.64,light rain
Raahe,FI,64.6833,24.4833,23.09,95,100,14.36,light snow
Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,82,36,8.99,scattered clouds
Tomatlan,MX,19.9333,-105.25,85.26,47,0,12.41,clear sky
Lavrentiya,RU,65.5833,-171.0,22.98,95,100,11.01,snow
Cuauhtemoc,MX,28.4167,-106.8667,63.27,35,100,15.26,overcast clouds
Yellowknife,CA,62.456,-114.3525,17.19,92,100,9.57,light snow
Oktyabrskiy,RU,54.4815,53.471,36.91,86,71,11.14,broken clouds
Udachnyy,RU,66.4167,112.4,-19.8,100,100,3.11,overcast clouds
Stroitel,RU,50.7854,36.4831,48.02,87,75,11.18,broken clouds
Eura,FI,61.1333,22.1333,24.58,99,75,4.12,broken clouds
Darhan,MN,49.4867,105.9228,35.28,56,7,0.56,clear sky
Zarautz,ES,43.2844,-2.1699,60.75,62,66,11.03,broken clouds
Bodaybo,RU,57.8506,114.1933,19.27,85,100,13.65,overcast clouds
Beidao,CN,34.5686,105.8933,48.45,77,100,2.17,overcast clouds
Nancha,CN,47.1333,129.2667,30.58,53,1,3.33,clear sky
Maku,IR,39.2911,44.4521,51.08,55,0,5.95,clear sky
Yar-Sale,RU,66.8333,70.8333,-15.27,100,65,5.12,broken clouds
Talcahuano,CL,-36.7167,-73.1167,58.14,73,64,15.08,broken clouds
Cherskiy,RU,68.75,161.3,10.71,64,100,20.29,overcast clouds
Naze,JP,28.3667,129.4833,60.96,75,82,11.23,broken clouds
Bakchar,RU,57.0186,82.0711,37.38,84,99,11.92,overcast clouds
Mumford,GH,5.2618,-0.759,81.75,83,74,8.55,broken clouds
Doha,QA,25.2867,51.5333,73.38,49,0,8.05,clear sky
Sola,VU,-13.8833,167.55,81.46,75,100,4.94,overcast clouds
Pevek,RU,69.7008,170.3133,2.89,80,13,17.36,few clouds
Roros,NO,62.5747,11.3842,-2.36,71,0,0.0,clear sky
Sulangan,PH,11.1373,123.7228,80.19,83,100,16.87,overcast clouds
San Vicente,AR,-26.6167,-54.1333,75.96,71,98,2.84,overcast clouds
New Norfolk,AU,-42.7826,147.0587,55.89,91,80,2.24,broken clouds
Tecpan,GT,14.7623,-90.9947,71.89,36,9,5.84,clear sky
Kununurra,AU,-15.7667,128.7333,71.58,94,100,0.0,overcast clouds
Namatanai,PG,-3.6667,152.4333,80.01,80,98,3.22,overcast clouds
Constitucion,CL,-35.3333,-72.4167,63.97,84,39,12.37,scattered clouds
Adrar,MR,20.5022,-10.0711,82.67,9,27,8.9,scattered clouds
Vestmanna,FO,62.1564,-7.1664,38.32,65,40,26.46,scattered clouds
Balaipungut,ID,1.05,101.2833,73.9,97,11,1.99,few clouds
Longyearbyen,SJ,78.2186,15.6401,4.84,78,75,10.36,broken clouds
Tucuma,BR,-0.1833,-50.05,75.7,94,100,5.01,overcast clouds
Ancud,CL,-41.8697,-73.8203,47.55,84,100,19.64,moderate rain
Qasigiannguit,GL,68.8193,-51.1922,12.45,99,6,1.36,clear sky
Kunzelsau,DE,49.2819,9.6889,44.73,75,0,2.3,clear sky
Hoi An,VN,15.8794,108.335,73.36,92,81,1.97,broken clouds
Kuryk,KZ,43.2,51.65,56.52,61,5,7.02,clear sky
Port Blair,IN,11.6667,92.75,78.37,75,37,4.12,scattered clouds
Terrak,NO,65.087,12.3715,24.67,83,14,8.12,few clouds
Acajutla,SV,13.5928,-89.8275,86.41,59,2,9.04,clear sky
Sibolga,ID,1.7427,98.7792,75.22,90,70,4.05,broken clouds
Bone,DE,51.9669,12.1396,38.89,72,100,5.73,overcast clouds
Espanola,US,35.9911,-106.0806,55.18,17,100,5.99,overcast clouds
Ketchikan,US,55.3422,-131.6461,48.67,46,0,13.8,clear sky
Pekin,CN,39.9075,116.3972,40.89,36,1,3.71,clear sky
Hobyo,SO,5.3505,48.5268,82.51,72,23,12.33,few clouds
Vestmannaeyjar,IS,63.4427,-20.2734,35.13,69,100,26.02,overcast clouds
Malakal,SS,9.5334,31.6605,87.87,17,53,4.0,broken clouds
Concepcion Del Uruguay,AR,-32.4825,-58.2372,83.25,48,0,1.99,clear sky
Nelson Bay,AU,-32.7167,152.15,68.09,97,100,5.99,light rain
Seymchan,RU,62.8833,152.4333,-4.67,96,47,4.7,scattered clouds
Tekkali,IN,18.6167,84.2333,77.83,88,98,5.19,overcast clouds
Anadyr,RU,64.75,177.4833,27.1,86,75,24.61,light snow
Nadym,RU,65.5333,72.5167,10.26,96,100,8.41,overcast clouds
Tsiroanomandidy,MG,-18.7667,46.0333,67.98,96,98,2.93,overcast clouds
Faya,SA,18.3851,42.4509,55.92,56,97,2.57,overcast clouds
Dudinka,RU,69.4058,86.1778,-24.83,100,84,5.37,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,14.05,76,100,17.36,overcast clouds
Kimbe,PG,-5.5502,150.1429,76.95,89,76,3.31,broken clouds
Touros,BR,-5.1989,-35.4608,78.66,80,95,8.41,overcast clouds
Elizabeth City,US,36.2946,-76.2511,61.05,60,0,8.05,clear sky
Sabya,SA,17.1495,42.6254,80.67,61,75,7.18,broken clouds
Hirara,JP,24.8,125.2833,70.56,73,86,14.99,overcast clouds
Ambon,ID,-3.6954,128.1814,75.34,94,40,3.44,scattered clouds
Mayo,US,38.8876,-76.5119,58.39,47,75,9.22,broken clouds
Veselynove,UA,47.3567,31.2349,34.47,64,99,23.38,overcast clouds
Bend,US,44.0582,-121.3153,42.66,80,100,10.36,overcast clouds
Isla Mujeres,MX,21.2311,-86.731,84.25,70,22,12.06,few clouds
Uren,RU,57.4552,45.7852,32.63,86,76,8.79,broken clouds
Kavieng,PG,-2.5744,150.7967,80.62,76,99,1.01,light rain
Aklavik,CA,68.2191,-135.0107,20.17,79,99,12.82,overcast clouds
Sumbe,AO,-11.2061,13.8437,78.46,83,97,3.49,overcast clouds
Kundiawa,PG,-6.0167,144.9667,58.93,81,72,2.89,broken clouds
Baracoa,CU,20.3467,-74.4958,81.84,64,0,8.19,clear sky
Cutro,IT,39.0353,16.9819,44.01,43,49,11.5,scattered clouds
Clevelandia,BR,-26.3958,-52.4708,69.58,87,75,2.95,broken clouds
Kabare,CD,-2.4683,28.8242,61.72,97,100,1.59,light rain
Buraydah,SA,26.326,43.975,68.22,20,0,7.67,clear sky
Morant Bay,JM,17.8815,-76.4093,83.82,61,1,10.13,clear sky
Tchollire,CM,8.4022,14.1698,84.61,17,62,1.5,broken clouds
Wilmington,US,34.2257,-77.9447,68.95,66,20,10.36,few clouds
Ponta Do Sol,PT,32.6667,-17.1,75.13,20,88,3.31,overcast clouds
Mata Grande,BR,-9.1175,-37.7322,80.8,45,76,11.12,broken clouds
Ust-Nera,RU,64.5667,143.2,16.07,96,100,5.14,light snow
Along,IN,28.1667,94.7667,59.94,86,98,2.33,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,82.94,77,75,10.36,broken clouds
Sept-Iles,CA,50.2001,-66.3821,36.05,78,100,4.61,overcast clouds
Bulgan,MN,48.8125,103.5347,34.34,48,23,4.5,few clouds
Opuwo,NA,-18.0607,13.84,68.16,75,96,1.72,overcast clouds
Taoudenni,ML,22.6783,-3.9836,91.51,10,39,11.18,scattered clouds
Kaiu,EE,59.0129,25.0551,27.99,84,100,3.62,overcast clouds
Yumen,CN,40.2833,97.2,43.92,17,62,7.31,broken clouds
Forest Grove,US,45.5198,-123.1107,50.79,85,100,10.36,moderate rain
Koslan,RU,63.4564,48.8989,-1.1,100,37,0.43,scattered clouds
Urengoy,RU,65.9667,78.3667,6.28,90,100,6.46,overcast clouds
Mankono,CI,8.0586,-6.1897,79.0,69,44,3.51,scattered clouds
Saint John,CA,45.2727,-66.0677,40.23,65,75,6.91,broken clouds
Ojinaga,MX,29.5667,-104.4167,60.42,26,100,14.97,overcast clouds
Kindu,CD,-2.95,25.95,70.63,93,98,3.62,light rain
Kavaratti,IN,10.5669,72.642,80.56,72,15,4.83,few clouds
Kaniama,CD,-7.5667,24.1833,66.43,95,87,2.04,overcast clouds
Padang,ID,-0.9492,100.3543,77.95,88,98,3.22,light rain
Bayevo,RU,53.2833,80.7667,33.64,99,100,5.57,overcast clouds
Caravelas,BR,-17.7125,-39.2481,77.13,77,0,5.99,clear sky
Ivaipora,BR,-24.2478,-51.6847,72.63,91,16,2.77,few clouds
Dolinsk,RU,47.35,142.8,31.8,84,30,9.22,scattered clouds
Rocha,UY,-34.4833,-54.3333,76.8,42,4,7.2,clear sky
Hailun,CN,47.45,126.9333,35.37,44,24,10.47,few clouds
North Bend,US,43.4065,-124.2243,55.17,60,75,8.05,broken clouds
Matamoros,MX,25.5333,-103.25,86.11,30,75,4.61,broken clouds
Santa Cruz,BO,-17.8,-63.1667,86.05,62,40,20.71,scattered clouds
Lazaro Cardenas,MX,17.9583,-102.2,83.52,52,0,10.51,clear sky
Chuy,UY,-33.6971,-53.4616,73.13,61,14,7.78,few clouds
Abu Kamal,SY,34.4506,40.9171,65.88,44,0,10.38,clear sky
Baykit,RU,61.67,96.37,13.6,97,100,2.55,light snow
Namibe,AO,-15.1961,12.1522,75.69,89,99,7.09,overcast clouds
Tottori,JP,35.5,134.2333,42.19,66,0,4.81,clear sky
Abadan,IR,30.3392,48.3043,69.49,55,0,8.88,clear sky
Chimbote,PE,-9.0853,-78.5783,81.18,68,95,9.22,overcast clouds
Alice,US,27.7523,-98.0697,73.49,35,20,19.57,few clouds
Limbazi,LV,57.5129,24.7194,31.03,82,100,9.4,overcast clouds
La Ronge,CA,55.1001,-105.2842,17.31,69,99,5.55,overcast clouds
Melfort,CA,52.8667,-104.6177,13.98,78,88,8.88,overcast clouds
Tenango,MX,18.65,-98.1833,93.43,22,0,10.45,clear sky
Bethel,US,41.3712,-73.414,50.94,41,75,6.91,broken clouds
Pangnirtung,CA,66.1451,-65.7125,12.67,93,100,2.01,overcast clouds
Bonfim,BR,3.0833,-59.95,94.98,31,55,7.05,broken clouds
Margate,GB,51.3813,1.3862,47.89,78,100,8.01,overcast clouds
Rusape,ZW,-18.5278,32.1284,55.13,97,46,2.59,scattered clouds
Independence,US,39.0911,-94.4155,52.59,40,0,6.91,clear sky
Tazovskiy,RU,67.4667,78.7,0.09,98,100,4.23,overcast clouds
Ruston,US,32.5232,-92.6379,74.59,30,0,9.22,clear sky
San Cristobal,VE,7.7669,-72.225,75.38,52,70,3.13,broken clouds
Mongo,TD,12.1844,18.693,92.14,17,100,5.77,overcast clouds
Santa Maria,BR,-29.6842,-53.8069,82.51,41,22,2.19,few clouds
Hede,CN,33.7681,120.2517,44.82,54,99,7.11,overcast clouds
Kotdwara,IN,29.75,78.5333,66.31,44,2,5.68,clear sky
Pailon,BO,-17.65,-62.75,87.48,71,26,8.19,scattered clouds
Tarpa,HU,48.1048,22.5374,31.82,68,50,15.66,scattered clouds
Kapiri Mposhi,ZM,-13.9652,28.6809,61.99,96,64,5.46,broken clouds
Huamachuco,PE,-7.8,-78.0667,59.45,61,100,2.48,light rain
Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,0,9.22,clear sky
Berlevag,NO,70.8578,29.0864,26.55,74,75,3.44,light snow
Kasama,ZM,-10.2129,31.1808,60.6,98,95,3.91,overcast clouds
Bezopasnoye,RU,45.6483,41.936,53.56,74,100,2.13,overcast clouds
Ramhormoz,IR,31.28,49.6035,65.59,66,0,7.4,clear sky
Nanga Eboko,CM,4.6833,12.3667,76.08,71,89,4.38,overcast clouds
Geraldton,AU,-28.7667,114.6,73.81,68,71,11.5,broken clouds
Esperance,AU,-33.8667,121.9,58.87,87,52,7.0,broken clouds
Cockburn Town,TC,21.4612,-71.1419,77.5,74,1,15.95,clear sky
Vagur,FO,61.4732,-6.8119,41.09,71,100,28.19,overcast clouds
Sisimiut,GL,66.9395,-53.6735,9.9,80,15,6.85,few clouds
Roald,NO,62.5833,6.1333,34.75,59,0,4.61,clear sky
Galveston,US,29.3669,-94.9669,76.08,58,0,24.16,clear sky
Busayra,JO,30.7376,35.6078,58.17,33,0,2.62,clear sky
Klyuchi,RU,52.2667,79.1667,41.4,88,10,8.63,clear sky
Benjamin Hill,MX,30.1667,-111.1,79.66,8,0,6.69,clear sky
Charleston,US,32.7766,-79.9309,71.83,82,40,6.91,scattered clouds
Kahului,US,20.8947,-156.47,82.42,63,20,7.0,few clouds
Eureka,US,40.8021,-124.1637,54.21,88,82,16.44,broken clouds
Chhindwara,IN,22.0667,78.9333,73.89,29,1,5.3,clear sky
Souillac,MU,-20.5167,57.5167,76.21,80,98,4.81,overcast clouds
Issia,CI,6.4922,-6.5856,77.52,81,75,3.31,light rain
Quatre Cocos,MU,-20.2078,57.7625,74.08,80,59,6.89,broken clouds
Noumea,NC,-22.2763,166.4572,80.01,99,94,8.43,overcast clouds
Saint Anthony,US,45.0205,-93.218,36.25,50,100,17.27,overcast clouds
Nanae,JP,41.8833,140.6833,35.53,76,5,3.36,clear sky
Tura,IN,25.5198,90.2201,70.05,70,48,3.85,scattered clouds
Killybegs,IE,54.6333,-8.45,50.27,92,100,8.48,overcast clouds
